fighter_a,fighter_b,char_level,trial,outcome,turns,a_hp,a_max_hp,b_hp,b_max_hp
BARBARIAN_PRINCESS,BAT,1,0,a_win,4,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,BAT,1,1,a_win,4,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,BAT,1,2,a_win,4,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,BAT,1,3,a_win,5,26.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,BAT,1,4,a_win,4,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,BLACK_ANT,1,0,a_win,6,27.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,BLACK_ANT,1,1,a_win,10,27.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,BLACK_ANT,1,2,a_win,6,25.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,BLACK_ANT,1,3,a_win,8,25.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,BLACK_ANT,1,4,a_win,7,25.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,BLAZING_FIREMOUSE,1,0,a_win,7,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,BLAZING_FIREMOUSE,1,1,a_win,4,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,BLAZING_FIREMOUSE,1,2,a_win,8,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,BLAZING_FIREMOUSE,1,3,a_win,6,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,BLAZING_FIREMOUSE,1,4,a_win,6,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,BLOB,1,0,a_win,12,21.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,BLOB,1,1,a_win,12,18.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,BLOB,1,2,a_win,13,16.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,BLOB,1,3,a_win,15,13.00,27.00,0.00,42.00
