warrior_level,weapon,bomb,opponent,trial,outcome,turns,bombs_thrown,bombs_hit,bomb_damage_total,melee_swings,warrior_hp_remaining,warrior_max_hp,opponents_alive,opponents_total
1,SWORD,BLAST_BOMB,BARBARIAN_PRINCESS,0,win,7,5,7,91,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BARBARIAN_PRINCESS,1,win,6,4,6,94,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BARBARIAN_PRINCESS,2,win,9,6,7,108,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BAT,0,win,4,2,3,41,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BAT,1,win,7,2,3,48,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BAT,2,win,4,2,3,49,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLACK_ANT,0,win,5,2,3,37,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLACK_ANT,1,win,5,2,3,35,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLACK_ANT,2,win,8,3,4,68,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLAZING_FIREMOUSE,0,win,9,2,3,39,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLAZING_FIREMOUSE,1,win,3,1,3,51,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLAZING_FIREMOUSE,2,win,4,2,3,39,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLOB,0,win,14,9,10,159,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLOB,1,win,14,10,10,148,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BLOB,2,win,17,10,10,143,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BUG_PRODIGY,0,win,8,6,6,106,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BUG_PRODIGY,1,win,8,5,6,88,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,BUG_PRODIGY,2,win,10,6,6,90,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,CAT,0,win,4,2,3,52,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,CAT,1,win,5,2,3,51,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,CAT,2,win,6,4,4,51,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,CAT_PB,0,win,9,8,11,180,0,14.00,25.00,0,3
1,SWORD,BLAST_BOMB,CAT_PB,1,win,12,10,11,162,1,4.00,25.00,0,3
1,SWORD,BLAST_BOMB,CAT_PB,2,win,8,7,10,159,0,16.00,25.00,0,3
1,SWORD,BLAST_BOMB,DEVELOPED_MASK_IMP,0,win,7,4,4,57,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,DEVELOPED_MASK_IMP,1,win,6,4,6,78,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,DEVELOPED_MASK_IMP,2,win,7,4,5,67,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,DOG,0,win,8,5,6,96,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,DOG,1,win,7,5,6,107,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,DOG,2,win,5,4,6,81,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,GHOST,0,win,8,2,3,60,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,GHOST,1,win,9,3,4,41,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,GHOST,2,win,7,1,3,51,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,HORRIBLE_MASK_IMP,0,win,9,5,7,107,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,HORRIBLE_MASK_IMP,1,win,7,4,6,87,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,HORRIBLE_MASK_IMP,2,win,11,7,7,101,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,HORROR,0,win,12,9,10,150,0,18.00,25.00,0,3
1,SWORD,BLAST_BOMB,HORROR,1,win,9,5,8,132,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,HORROR,2,win,10,8,10,136,0,23.00,25.00,0,3
1,SWORD,BLAST_BOMB,KISSYBLOB,0,win,14,9,10,163,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KISSYBLOB,1,win,11,8,9,144,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KISSYBLOB,2,win,19,9,9,144,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KITTEN,0,win,8,3,3,48,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KITTEN,1,win,4,2,3,41,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KITTEN,2,win,5,3,3,41,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_CLEAVER,0,win,11,6,6,93,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_CLEAVER,1,win,7,5,7,107,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_CLEAVER,2,win,12,7,7,104,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_FIGHTER,0,win,11,6,6,90,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_FIGHTER,1,win,8,5,6,90,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_FIGHTER,2,win,9,6,6,88,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_GENERAL,0,win,11,7,7,103,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_GENERAL,1,win,7,6,8,141,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_GENERAL,2,win,8,7,9,126,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_SPEARMAN,0,win,10,4,4,65,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_SPEARMAN,1,win,5,2,3,49,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,KOBOLD_SPEARMAN,2,win,7,3,4,61,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,LARGE_MASK_IMP,0,win,5,2,3,49,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,LARGE_MASK_IMP,1,win,8,3,3,42,0,25.00,25.00,0,3
